Hyperpar,AE_S1_WMAPE,AE_S1_Time,AE_S2_WMAPE,AE_S2_Time,AE_C1_WMAPE,AE_C1_Time,AE_C2_WMAPE,AE_C2_Time,Baseline,AE_S3_WMAPE,AE_S3_Time,AE_S4_WMAPE,AE_S4_Time,AE_C3_WMAPE,AE_C3_Time,AE_C4_WMAPE,AE_C4_Time
cH1,0.6082,279.0,N/A,N/A,N/A,N/A,0.5710,318.1,0.7958,,,,,,,,
cH2,0.8586,268.0,N/A,N/A,N/A,N/A,1.5946,334.6,0.7958,,,,,,,,
cH3,8.3814,293.2,N/A,N/A,N/A,N/A,3.6157,434.7,0.7958,,,,,,,,
cH4,1.0000,318.0,N/A,N/A,N/A,N/A,10.1518,616.6,0.7958,,,,,,,,
cH5,1.0000,3328.7,N/A,N/A,N/A,N/A,1.0734,2449.9,0.7958,,,,,,,,
cH1,,,,,,,,,0.8629,0.6168,205.5,0.6580,185.1,N/A,N/A,N/A,N/A
cH2,,,,,,,,,0.8629,0.5849,192.6,0.8700,167.7,N/A,N/A,N/A,N/A
cH3,,,,,,,,,0.8629,0.6824,2182.7,0.6785,1175.4,N/A,N/A,N/A,N/A
cH4,,,,,,,,,0.8629,1.7131,187.3,0.8138,201.6,N/A,N/A,N/A,N/A
cH5,,,,,,,,,0.8629,1.0000,348.0,0.8184,366.4,N/A,N/A,N/A,N/A
